name,height,weight
alex,424.38,23.25
ajay,461.42,28.08
alice,447.75,31.48
ravi,440.13,29.28
joe,437.36,29.69
alex,424.38,23.25
ajay,461.42,28.08
alice,447.75,31.48
ravi,440.13,29.28
joe,437.36,29.69
alex,424.38,23.25
ajay,461.42,28.08
alice,447.75,31.48
ravi,440.13,29.28
joe,437.36,29.69
jack,443.23,25.37
tom,450.32,29.11
tracy,451.69,28.08
john,438.07,23.12
jack,443.23,25.37
tom,450.32,29.11
tracy,451.69,28.08
john,438.07,23.12
jack,443.23,25.37
tom,450.32,29.11
tracy,451.69,28.08
john,438.07,23.12
simon,438.07,23.12
jacob,430.83,24.83
cindy,428.96,26.22
ivan,436.24,23.48
simon,438.07,23.12
jacob,430.83,24.83
cindy,428.96,26.22
ivan,436.24,23.48
simon,438.07,23.12
jacob,430.83,24.83
cindy,428.96,26.22
ivan,436.24,23.48
